#ID	a	e	i	o	p	M
523	2.97	0.18	4.32	261.34	186.62	286.25
524	2.63	0.13	8.22	326.85	79.49	285.59
525	2.24	0.10	6.00	203.58	263.72	132.36
526	3.12	0.14	2.17	137.93	358.82	123.88
527	2.72	0.15	9.68	120.68	203.18	23.45
528	3.40	0.02	12.67	49.79	323.35	195.19
529	3.02	0.10	11.02	65.29	336.49	206.76
530	3.18	0.22	8.56	129.22	201.07	65.38
531	2.78	0.20	34.01	197.88	57.72	187.31
532	2.77	0.18	16.31	107.64	76.96	291.62
533	2.98	0.04	6.55	180.58	39.94	181.91
534	2.88	0.06	3.28	94.26	333.51	324.02
535	2.57	0.02	6.78	84.88	67.30	213.48
