#ID	a	e	i	o	p	M
21282	2.30	0.21	21.87	200.81	258.76	89.73
21283	2.39	0.04	0.34	282.25	115.43	99.45
21284	5.26	0.10	7.03	184.08	181.71	131.67
21285	2.30	0.11	3.92	219.30	249.49	75.60
21286	2.18	0.14	6.01	45.45	354.48	169.51
21287	2.21	0.09	1.53	5.20	149.81	40.67
21288	2.25	0.12	3.48	220.70	199.56	122.98
21289	2.30	0.07	5.85	229.43	209.85	91.63
21290	2.67	0.05	15.38	58.63	272.58	86.56
21291	2.34	0.04	7.31	65.88	88.83	26.36
21292	2.43	0.20	3.17	183.85	188.70	104.93
21293	2.30	0.24	5.35	84.52	253.13	167.71
21294	2.27	0.16	1.98	144.15	223.41	163.17
21295	2.29	0.07	7.47	47.09	30.38	97.28
21296	2.29	0.16	4.21	65.14	294.78	161.63
21297	2.26	0.14	5.16	60.69	266.22	195.99
21298	2.18	0.04	6.19	60.76	80.58	68.78
21299	2.62	0.25	4.67	36.87	42.68	28.83
21300	2.27	0.08	2.49	286.12	188.94	94.60
21301	2.28	0.09	5.38	238.84	12.53	301.23
21302	2.32	0.11	4.22	250.44	61.95	210.90
21303	2.45	0.19	3.62	79.09	249.71	178.29
21304	2.33	0.07	7.65	87.99	337.10	129.66
21305	2.40	0.20	5.86	245.01	206.61	76.61
21306	2.78	0.15	14.72	75.08	350.66	359.56
21307	2.31	0.16	4.65	53.52	358.96	133.30
21308	2.36	0.11	3.19	61.53	23.93	92.94
21309	2.39	0.08	6.87	352.06	66.79	100.83
21310	2.26	0.11	3.90	292.98	291.93	4.33
21311	2.23	0.09	6.60	100.44	336.93	123.43
21312	2.33	0.22	1.74	204.07	76.29	304.04
21313	2.21	0.16	5.58	285.92	344.01	334.21
21314	2.41	0.13	3.30	279.56	254.79	18.51
21315	2.55	0.17	13.82	66.35	355.34	47.49
21316	2.21	0.10	5.71	252.21	164.00	148.77
21317	2.54	0.04	3.62	216.62	220.59	75.68
21318	2.23	0.09	7.23	333.99	75.24	125.19
21319	2.44	0.22	11.69	105.38	119.33	353.60
21320	2.59	0.20	14.69	276.10	114.44	84.81
21321	2.31	0.12	6.38	331.46	51.05	180.59
21322	2.71	0.29	2.98	69.04	82.95	343.54
21323	2.60	0.04	15.46	128.23	29.98	357.12
21324	2.56	0.15	5.89	276.91	183.21	15.52
21325	2.26	0.06	3.51	292.99	181.16	80.57
21326	2.58	0.10	4.45	355.37	329.96	187.30
21327	2.41	0.09	8.22	348.96	76.52	120.09
21328	2.36	0.04	7.18	54.63	105.60	51.74
21329	2.38	0.18	7.25	318.31	271.88	345.86
21330	2.59	0.10	4.31	295.73	57.66	156.80
21331	2.57	0.22	5.28	324.91	317.27	269.62
21332	2.39	0.15	3.48	115.51	303.56	121.64
21333	2.42	0.13	22.63	328.95	259.92	348.38
21334	2.43	0.14	4.99	4.71	187.75	20.86
21335	2.53	0.08	3.64	83.11	44.36	51.54
21336	2.63	0.03	1.71	155.68	189.36	164.18
21337	2.97	0.08	9.67	201.74	213.67	70.03
21338	2.40	0.09	7.16	119.30	267.89	183.04
21339	2.45	0.16	3.55	80.46	22.53	88.91
21340	2.47	0.12	5.38	77.63	134.76	1.44
21341	2.39	0.09	6.69	126.96	133.48	336.00
21342	2.61	0.07	3.67	80.52	291.72	143.83
21343	2.44	0.14	3.90	72.64	128.11	23.33
21344	2.73	0.15	3.76	71.03	198.06	259.83
21345	2.65	0.12	12.55	120.63	41.05	40.69
21346	2.61	0.15	15.44	55.30	270.42	229.71
21347	2.69	0.16	14.19	111.99	313.41	74.10
21348	2.62	0.09	15.02	140.74	272.27	90.20
21349	3.22	0.16	0.94	24.09	272.47	171.24
21350	2.72	0.09	4.04	6.38	67.97	84.44
21351	2.58	0.19	12.64	333.37	67.17	103.70
21352	2.95	0.11	2.56	148.77	198.66	151.90
21353	3.18	0.12	15.10	122.10	115.69	248.31
21354	2.69	0.13	13.68	120.14	160.80	292.22
21355	2.94	0.13	1.58	194.93	147.38	163.99
21356	2.68	0.03	4.53	195.95	136.77	213.76
21357	2.88	0.01	1.14	320.31	315.38	234.60
21358	2.75	0.05	1.44	62.49	189.49	284.94
21359	2.94	0.02	0.75	296.20	243.62	339.10
21360	3.21	0.11	0.49	200.98	55.10	206.89
21361	2.46	0.09	5.93	210.87	217.27	171.96
21362	2.90	0.09	3.36	147.93	350.15	25.46
21363	2.97	0.03	9.89	39.59	69.19	43.30
21364	2.70	0.14	1.17	235.62	315.76	3.09
21365	2.65	0.12	13.00	171.10	31.67	359.94
21366	2.91	0.04	3.10	116.02	206.12	214.56
21367	3.00	0.05	12.78	199.52	347.47	336.98
21368	3.02	0.05	11.26	139.23	338.91	45.33
21369	3.04	0.11	12.71	120.28	322.74	78.49
21370	5.16	0.08	7.77	77.18	47.69	23.53
21371	5.26	0.07	7.87	61.42	54.57	21.35
21372	5.22	0.03	11.04	188.73	277.83	27.51
21373	2.58	0.13	11.58	251.57	272.10	239.34
21374	1.27	0.12	23.98	59.29	197.00	352.52
21375	2.16	0.04	3.94	321.65	293.98	261.31
21376	2.24	0.17	5.15	2.08	301.36	217.71
21377	2.56	0.19	8.61	355.33	193.63	301.65
21378	2.62	0.20	11.28	325.71	119.13	334.32
21379	2.34	0.05	7.00	3.79	132.60	15.95
21380	2.27	0.21	6.62	138.09	174.84	182.09
21381	2.24	0.14	6.20	323.75	297.42	279.97
21382	2.20	0.12	1.52	65.34	183.30	308.52
21383	2.55	0.26	6.31	86.37	176.84	218.11
21384	2.31	0.23	4.36	292.30	16.59	213.39
21385	2.40	0.16	2.38	81.85	185.42	264.53
21386	2.20	0.09	5.44	166.61	267.09	119.26
21387	2.37	0.12	3.49	331.91	4.44	157.09
21388	2.25	0.07	7.42	330.32	15.42	177.79
21389	2.20	0.06	1.99	306.58	210.60	18.72
21390	2.47	0.14	1.88	61.86	59.82	346.87
21391	2.23	0.06	3.69	194.76	357.42	342.68
21392	2.28	0.11	6.32	198.01	201.04	114.84
21393	2.38	0.20	1.59	301.14	341.20	241.30
21394	2.20	0.18	5.80	13.30	269.56	280.17
21395	2.22	0.13	6.07	184.13	207.51	138.35
21396	2.38	0.19	3.06	56.50	205.80	263.92
21397	2.30	0.13	6.86	354.65	39.17	122.46
21398	2.23	0.17	3.60	115.82	269.84	146.35
21399	2.26	0.05	5.78	178.68	278.89	71.10
21400	2.31	0.20	3.61	350.28	298.25	258.08
21401	2.44	0.18	2.12	350.69	303.30	224.51
21402	2.29	0.14	2.54	351.92	72.78	90.11
21403	2.43	0.15	3.36	12.31	279.38	224.53
21404	2.17	0.12	4.87	185.97	48.51	333.46
21405	2.28	0.10	1.53	242.68	334.05	320.66
21406	2.34	0.12	6.78	37.72	276.42	218.25
21407	2.92	0.07	3.41	53.21	282.24	98.50
21408	2.26	0.12	7.03	5.55	255.00	290.69
21409	2.28	0.12	5.56	193.69	44.84	306.91
21410	2.28	0.13	1.75	221.09	46.73	281.85
21411	2.45	0.06	7.94	169.39	215.68	114.55
21412	2.15	0.04	3.38	89.88	334.49	138.18
21413	2.26	0.12	3.14	250.10	36.40	269.22
21414	2.41	0.25	11.82	182.39	178.90	155.79
21415	2.41	0.21	2.66	50.10	271.29	210.19
21416	2.41	0.15	6.52	30.92	292.45	200.64
21417	2.24	0.09	2.38	301.54	295.63	317.86
21418	2.18	0.09	5.32	2.14	48.99	133.69
21419	2.28	0.11	2.39	339.56	196.16	358.14
21420	2.28	0.19	5.77	349.44	299.62	237.42
21421	2.21	0.16	4.18	92.81	302.88	153.86
21422	2.18	0.05	3.42	105.23	160.35	300.97
21423	2.42	0.06	7.31	154.64	151.16	214.30
21424	2.18	0.10	4.42	64.25	4.00	123.32
21425	2.29	0.13	4.51	104.55	218.03	201.42
21426	2.32	0.15	9.38	110.99	140.17	276.28
21427	2.22	0.18	4.13	252.46	118.52	160.27
21428	2.25	0.07	3.77	298.20	296.11	309.23
21429	2.30	0.13	9.24	326.57	289.94	283.03
21430	2.39	0.14	6.01	266.54	69.58	182.68
21431	2.34	0.11	6.20	248.54	18.90	267.93
21432	2.28	0.10	5.59	244.84	345.47	318.70
21433	2.21	0.08	3.59	264.69	323.59	335.20
21434	2.23	0.08	6.57	223.05	212.52	101.39
21435	2.30	0.05	3.56	302.73	117.45	106.34
21436	2.19	0.08	3.74	320.49	177.91	50.98
21437	2.64	0.19	12.37	211.48	114.05	161.80
21438	2.41	0.08	2.68	156.37	178.22	178.02
21439	2.34	0.11	3.57	335.59	79.30	90.33
21440	2.26	0.07	4.05	127.44	171.06	249.74
21441	2.48	0.15	5.13	238.61	52.62	229.71
21442	2.20	0.10	3.56	282.25	159.02	97.73
21443	2.41	0.08	3.45	126.92	140.25	257.21
21444	2.27	0.12	7.73	60.47	321.97	165.66
21445	2.28	0.19	5.52	217.14	176.35	113.21
21446	2.53	0.10	3.87	242.86	255.82	335.63
21447	2.36	0.21	1.36	294.71	76.27	149.63
21448	2.30	0.12	4.10	179.60	76.55	285.93
21449	2.30	0.05	3.22	71.85	280.66	179.16
21450	2.21	0.05	8.35	39.01	338.72	172.79
21451	2.28	0.07	0.70	108.79	320.57	134.46
21452	2.48	0.21	13.71	114.20	192.74	213.51
21453	2.38	0.09	5.72	209.41	51.10	265.48
21454	3.17	0.08	9.90	33.15	59.43	307.85
21455	2.58	0.12	2.83	149.47	319.38	0.67
21456	2.28	0.17	2.23	170.88	64.41	316.74
21457	2.34	0.19	0.24	58.71	58.07	41.50
21458	2.33	0.07	4.63	173.89	284.34	77.84
21459	2.26	0.13	7.06	47.02	240.72	279.09
21460	2.28	0.21	2.27	123.02	131.76	311.19
21461	2.21	0.06	2.17	330.88	120.20	104.91
21462	2.42	0.14	4.80	234.27	237.45	32.17
21463	2.42	0.11	4.90	251.55	52.37	228.58
21464	2.28	0.20	5.73	225.86	49.12	293.68
21465	2.27	0.11	4.93	176.72	41.51	335.11
21466	2.36	0.15	2.85	137.22	60.44	331.63
21467	2.40	0.06	7.27	232.23	2.27	294.32
21468	2.68	0.11	3.34	55.47	218.84	217.02
21469	2.36	0.16	2.32	5.61	229.33	306.18
21470	2.61	0.27	3.89	316.69	23.34	182.57
21471	2.64	0.20	11.65	19.74	298.13	194.19
21472	2.37	0.07	6.27	45.90	344.50	146.82
21473	2.26	0.13	3.22	90.87	232.44	250.77
21474	2.38	0.09	6.37	185.24	75.97	278.55
21475	2.18	0.04	2.60	85.57	173.41	321.17
21476	2.21	0.05	6.49	31.62	181.71	359.48
21477	2.56	0.13	11.55	171.01	49.56	275.72
21478	2.97	0.22	11.93	131.35	188.23	146.10
21479	2.17	0.20	4.83	142.51	165.72	297.02
21480	2.38	0.11	6.29	134.33	146.28	267.75
21481	2.36	0.06	6.28	159.38	302.76	74.94
21482	2.39	0.17	3.33	112.23	142.36	267.50
21483	2.28	0.09	5.70	130.67	27.16	10.53
21484	2.35	0.07	7.27	76.03	10.20	62.21
21485	2.35	0.13	6.82	2.25	333.96	200.78
21486	2.17	0.08	3.54	239.78	238.30	102.57
21487	2.99	0.18	3.07	39.91	288.64	149.52
21488	2.19	0.04	4.47	121.09	95.52	351.05
21489	2.31	0.13	2.06	4.09	146.83	20.07
21490	2.72	0.09	11.68	220.16	68.19	193.34
21491	2.38	0.13	2.64	14.23	183.97	331.25
21492	2.31	0.10	9.72	217.15	356.68	334.10
21493	2.42	0.13	3.02	42.71	207.99	287.64
21494	2.41	0.13	3.11	140.20	51.40	335.55
21495	2.27	0.17	8.88	93.20	215.12	271.35
21496	2.68	0.20	8.17	154.90	164.65	189.96
21497	2.24	0.07	6.33	98.17	101.29	7.29
21498	2.27	0.11	22.94	249.46	359.17	327.83
21499	2.45	0.12	7.99	79.24	294.53	172.80
21500	2.33	0.12	4.29	101.30	49.63	31.25
21501	2.31	0.07	5.59	261.76	218.37	72.83
21502	2.60	0.12	3.68	116.02	205.72	194.20
21503	2.53	0.11	5.35	29.01	175.28	302.00
21504	2.65	0.07	9.10	194.28	215.59	81.19
21505	2.25	0.09	5.83	16.72	125.54	61.12
21506	2.31	0.08	7.19	282.61	259.70	11.54
21507	2.43	0.16	1.89	209.54	59.84	275.95
21508	2.74	0.18	1.81	94.28	260.11	153.77
21509	2.28	0.11	5.99	70.33	3.88	131.24
21510	2.75	0.10	2.54	304.35	19.14	177.34
21511	2.27	0.10	3.70	256.58	315.74	354.27
21512	2.27	0.13	4.41	126.52	307.50	138.01
21513	2.29	0.08	6.16	190.80	242.88	139.08
21514	2.64	0.22	6.82	115.65	197.10	223.16
21515	2.70	0.15	15.53	105.71	178.55	219.56
21516	2.54	0.19	10.96	178.68	139.16	222.82
21517	2.36	0.18	7.73	156.86	34.76	348.98
21518	2.59	0.10	14.13	117.68	31.95	352.77
21519	2.40	0.12	14.04	104.45	288.23	167.59
21520	2.97	0.04	9.22	159.94	118.54	197.69
21521	2.56	0.17	8.12	138.34	263.93	139.57
21522	2.58	0.16	7.76	160.51	69.61	295.15
21523	3.00	0.26	26.54	118.02	193.79	200.35
21524	2.93	0.04	3.60	77.97	76.80	304.18
21525	2.79	0.18	9.20	126.02	350.55	58.72
21526	2.61	0.34	15.26	145.31	137.53	262.78
21527	2.58	0.19	12.68	286.75	47.40	227.95
21528	2.42	0.05	4.34	305.08	357.36	277.73
21529	2.88	0.18	13.51	133.19	186.88	205.95
21530	2.73	0.06	10.74	301.26	318.61	288.44
21531	2.76	0.07	6.10	264.86	223.32	45.51
21532	2.96	0.06	9.10	281.22	107.62	131.63
21533	2.93	0.06	3.00	131.19	274.90	136.78
21534	2.79	0.07	4.99	145.02	177.04	229.37
21535	3.02	0.10	4.00	153.85	117.18	247.31
21536	2.64	0.06	14.40	333.46	158.79	81.65
21537	3.08	0.13	1.17	160.95	80.65	273.30
21538	3.07	0.12	1.15	232.43	103.35	190.75
21539	3.18	0.03	13.21	301.49	65.31	157.26
21540	3.17	0.11	22.07	329.76	346.11	186.04
21541	2.96	0.05	9.52	169.99	127.94	231.29
21542	3.18	0.07	15.54	161.02	147.28	204.59
21543	3.25	0.04	8.66	310.42	343.48	214.66
21544	2.53	0.10	11.36	316.75	292.27	333.61
21545	3.04	0.01	8.85	190.30	86.10	254.89
21546	2.66	0.02	14.70	335.68	227.56	8.95
21547	3.17	0.13	0.33	323.85	328.31	219.86
21548	2.54	0.02	7.13	214.70	40.30	339.36
21549	3.18	0.15	3.35	23.79	251.55	234.14
21550	2.76	0.08	6.15	329.63	241.60	350.17
21551	3.10	0.04	9.16	198.54	270.11	70.50
21552	2.60	0.01	22.08	181.30	345.92	67.74
21553	2.23	0.17	2.09	41.04	245.06	24.31
21554	3.14	0.21	15.53	229.06	19.19	251.94
21555	3.19	0.09	15.68	212.90	240.08	77.09
21556	2.40	0.23	7.38	225.28	24.58	340.27
21557	3.00	0.06	8.74	294.61	8.95	232.85
21558	2.67	0.16	11.95	323.91	286.87	321.26
21559	2.61	0.25	11.02	287.39	310.61	335.99
21560	2.97	0.07	10.95	37.32	229.23	286.33
21561	2.68	0.17	13.94	58.05	333.13	232.81
21562	2.59	0.14	12.64	184.26	68.91	314.33
21563	2.78	0.16	7.79	222.60	42.58	281.69
21564	3.09	0.19	16.84	165.13	213.14	170.40
21565	2.85	0.23	6.20	131.33	165.80	249.70
21566	2.89	0.06	3.25	91.62	226.84	241.98
21567	2.54	0.21	7.00	131.34	86.67	357.02
21568	2.28	0.18	24.92	350.10	45.24	261.61
21569	3.16	0.11	0.67	179.49	4.51	6.98
21570	2.59	0.14	13.21	2.23	253.61	318.61
21571	2.65	0.06	5.11	234.24	36.32	316.66
21572	2.68	0.18	9.50	149.15	60.23	7.30
21573	3.38	0.11	7.65	58.87	128.07	335.45
21574	2.88	0.04	2.76	63.57	306.38	201.80
21575	2.74	0.10	6.08	95.92	125.67	3.18
21576	3.18	0.13	2.18	137.33	108.41	270.82
21577	2.28	0.10	5.09	72.42	18.11	223.01
21578	2.65	0.10	27.12	281.60	296.61	29.25
21579	3.14	0.14	1.85	39.13	228.11	266.28
21580	2.90	0.07	3.05	76.66	237.91	247.28
21581	3.02	0.04	9.69	178.79	279.42	102.61
21582	2.66	0.13	2.20	358.13	227.45	0.14
21583	3.15	0.16	4.59	329.83	328.21	239.26
21584	3.04	0.10	9.23	227.70	318.32	26.51
21585	2.72	0.08	8.32	58.46	223.84	303.58
21586	3.09	0.14	1.80	125.55	146.11	276.60
21587	2.85	0.07	12.46	219.94	80.46	281.57
21588	3.09	0.16	2.57	131.25	132.69	278.78
21589	2.78	0.16	8.89	227.35	25.96	333.37
21590	3.05	0.07	10.08	220.98	343.05	14.32
21591	2.66	0.12	12.68	183.92	308.73	143.84
21592	2.86	0.24	11.49	22.11	287.14	271.06
21593	5.09	0.05	3.35	291.05	130.32	71.33
21594	2.74	0.22	8.24	243.14	350.13	5.20
21595	5.19	0.14	25.07	144.04	257.68	102.37
21596	2.38	0.23	6.10	97.16	216.04	350.40
21597	3.02	0.08	11.26	60.17	233.73	299.96
21598	2.33	0.15	0.97	138.27	1.05	199.97
21599	5.20	0.12	11.21	218.89	209.87	71.81
21600	2.99	0.09	11.13	142.78	175.64	278.85
21601	5.16	0.04	19.53	263.67	209.91	60.97
21602	5.17	0.06	7.95	309.32	192.87	11.19
21603	2.60	0.11	32.02	197.42	42.40	90.01
21604	2.86	0.03	2.33	161.92	302.44	211.14
21605	3.06	0.11	10.85	192.75	269.87	207.87
21606	2.18	0.07	0.91	307.03	28.90	121.33
21607	2.68	0.10	9.05	196.72	127.05	56.54
21608	2.37	0.15	5.65	235.91	69.74	132.87
21609	2.35	0.23	6.46	192.64	235.77	9.07
21610	2.80	0.24	9.97	257.14	67.62	102.70
21611	2.68	0.20	12.54	213.82	126.20	94.57
21612	2.26	0.07	6.11	239.06	201.44	24.40
21613	2.33	0.21	6.98	101.43	298.46	35.57
21614	2.35	0.16	6.02	224.88	123.02	93.84
21615	2.29	0.07	6.13	167.04	100.39	202.99
21616	2.36	0.13	6.74	151.44	173.06	129.51
21617	2.34	0.15	2.42	222.04	148.00	100.43
21618	2.16	0.20	2.62	114.29	198.51	195.98
21619	2.26	0.07	5.51	311.88	182.15	309.86
21620	2.60	0.23	8.22	101.26	210.36	128.02
21621	2.39	0.26	8.70	209.50	114.71	186.32
21622	2.23	0.22	5.16	61.62	278.19	169.00
21623	2.38	0.09	3.28	249.06	286.47	277.31
21624	2.77	0.15	16.29	130.40	266.29	82.96
21625	3.11	0.23	15.68	260.97	132.78	90.46
21626	2.25	0.18	5.23	200.43	124.39	207.80
21627	2.55	0.20	12.32	146.93	83.98	229.56
21628	2.42	0.20	0.23	53.12	322.16	141.39
21629	2.19	0.03	1.20	180.11	42.46	302.59
21630	2.19	0.05	1.21	201.65	354.62	329.13
21631	2.41	0.15	4.85	142.13	104.77	241.45
21632	2.38	0.28	5.92	295.60	37.60	182.06
21633	2.36	0.09	5.62	305.23	304.87	253.50
21634	2.30	0.19	6.76	69.65	327.75	120.38
21635	2.44	0.20	1.76	246.09	86.70	161.70
21636	2.22	0.15	3.89	70.61	220.52	221.25
21637	2.36	0.19	7.44	313.70	27.80	170.34
21638	2.31	0.20	1.80	358.74	335.67	183.18
21639	2.27	0.12	5.82	116.70	330.61	76.51
21640	2.28	0.18	5.82	356.50	51.04	128.14
21641	2.71	0.09	4.85	87.04	304.16	88.23
21642	2.24	0.18	3.23	12.48	260.45	238.15
21643	2.25	0.14	3.90	110.67	281.84	138.05
21644	2.41	0.21	9.10	165.50	223.77	130.33
21645	2.55	0.22	11.58	290.11	62.51	139.63
21646	2.67	0.16	13.08	184.10	233.35	72.38
21647	2.66	0.08	10.42	192.30	144.29	143.09
21648	2.60	0.23	11.52	261.06	177.28	89.06
21649	2.73	0.20	14.44	162.97	150.27	154.21
21650	2.30	0.12	6.08	233.00	50.22	231.28
21651	2.85	0.03	13.81	125.76	193.43	132.67
21652	2.61	0.25	11.97	289.75	63.79	168.24
21653	2.78	0.21	18.89	243.98	98.33	168.66
21654	2.31	0.24	7.24	157.24	176.24	185.16
21655	2.64	0.18	13.39	293.57	7.05	240.54
21656	2.71	0.23	9.25	130.39	204.54	155.56
21657	2.30	0.05	7.28	151.91	332.01	53.56
21658	2.16	0.16	2.53	4.12	261.26	269.50
21659	2.57	0.15	4.90	46.96	260.04	194.03
21660	2.73	0.04	4.78	192.35	236.69	92.76
21661	2.36	0.25	5.62	166.21	166.36	178.64
21662	2.54	0.17	13.04	344.75	355.78	177.47
21663	3.06	0.13	9.28	170.96	148.46	158.20
21664	2.62	0.21	9.59	29.96	69.81	65.65
21665	2.27	0.13	2.87	309.27	288.04	296.80
21666	2.69	0.22	1.95	6.45	4.78	138.93
21667	2.25	0.05	4.46	352.61	198.88	5.31
21668	2.40	0.18	9.84	163.80	315.40	63.78
21669	2.31	0.18	2.34	320.43	201.57	13.06
21670	2.27	0.13	2.56	35.09	331.74	168.29
21671	2.60	0.05	14.67	175.77	328.32	356.02
21672	2.55	0.19	8.10	166.52	235.59	120.73
21673	2.38	0.08	6.88	137.51	77.30	299.82
21674	2.62	0.14	15.57	153.88	229.28	127.88
21675	2.49	0.06	1.96	270.11	26.96	221.15
21676	2.97	0.17	11.43	175.09	216.45	105.19
21677	2.52	0.14	3.62	131.30	305.40	100.03
21678	2.55	0.15	7.62	162.54	212.84	144.87
21679	2.22	0.20	2.78	167.33	131.07	227.97
21680	2.76	0.06	5.29	186.66	225.27	94.36
21681	3.17	0.10	9.26	177.56	206.51	96.55
21682	2.47	0.08	8.50	91.02	108.10	316.01
21683	2.28	0.12	5.21	329.42	109.35	107.40
21684	2.43	0.13	5.63	18.01	75.51	93.32
21685	2.89	0.07	1.00	250.73	117.65	123.81
21686	2.28	0.11	1.73	43.90	186.10	301.58
21687	2.78	0.08	5.72	346.65	17.60	129.75
21688	1.92	0.08	25.50	329.32	44.95	199.90
21689	2.41	0.19	3.85	149.88	161.89	214.26
21690	2.34	0.25	24.76	149.23	317.96	99.55
21691	2.43	0.08	4.84	332.91	32.77	170.15
21692	2.43	0.15	7.20	29.29	324.52	170.86
21693	2.58	0.22	13.09	331.17	48.44	130.04
21694	2.58	0.26	4.09	208.69	215.52	90.96
21695	2.44	0.22	3.33	112.68	212.84	175.74
21696	2.31	0.18	3.54	20.39	312.82	187.74
21697	2.43	0.15	6.51	180.27	169.11	163.92
21698	2.53	0.16	3.49	70.59	266.39	163.15
21699	3.11	0.18	3.03	81.98	321.73	72.74
21700	2.59	0.15	3.73	63.90	284.86	156.10
21701	2.86	0.04	3.04	70.60	241.03	168.54
21702	2.22	0.08	1.53	290.85	196.80	65.30
21703	2.24	0.17	4.20	270.32	315.70	302.25
21704	2.98	0.03	0.33	308.77	141.67	36.17
21705	2.69	0.10	3.24	104.83	251.06	148.00
21706	3.18	0.14	0.26	236.53	219.26	33.51
21707	2.31	0.08	5.36	343.05	148.57	60.63
21708	2.62	0.06	6.29	142.65	194.21	174.09
21709	2.26	0.09	6.07	357.14	144.49	59.48
21710	2.78	0.07	1.59	74.63	334.47	98.69
21711	2.47	0.17	11.41	192.76	7.32	326.22
21712	2.43	0.18	2.69	75.00	26.73	95.43
21713	2.28	0.16	6.57	146.97	116.13	269.42
21714	2.90	0.03	11.77	306.11	150.24	50.92
21715	2.26	0.07	7.60	270.03	18.99	264.39
21716	2.39	0.04	3.21	189.98	170.84	160.13
21717	2.91	0.06	1.94	175.83	245.25	61.54
21718	2.56	0.18	2.62	136.05	262.85	113.80
21719	2.42	0.13	2.11	150.16	210.46	155.04
21720	2.31	0.12	7.56	174.25	110.17	227.00
21721	2.32	0.13	7.10	152.14	173.98	191.36
21722	2.35	0.09	5.73	214.51	14.88	277.47
21723	2.76	0.28	6.92	183.34	152.08	144.81
21724	2.33	0.13	5.74	212.12	150.49	167.05
21725	2.98	0.11	9.74	188.62	223.01	63.50
21726	2.37	0.11	5.76	244.21	227.23	59.56
21727	2.33	0.18	7.31	139.08	271.58	133.00
21728	2.66	0.06	15.23	151.10	312.98	30.43
21729	2.35	0.03	5.39	318.06	335.22	226.73
21730	2.21	0.11	3.94	358.06	289.45	243.93
21731	2.60	0.05	15.63	159.83	45.00	307.41
21732	2.68	0.12	4.83	359.75	80.96	82.03
21733	2.30	0.12	3.44	261.50	41.45	218.87
21734	2.97	0.11	10.56	182.88	200.37	94.36
21735	2.35	0.12	6.31	290.01	5.93	219.35
21736	2.32	0.19	2.32	316.58	355.23	206.95
21737	2.42	0.15	1.45	78.66	341.37	113.42
21738	2.32	0.15	5.57	205.63	94.03	219.65
21739	2.28	0.08	3.27	36.38	339.86	162.77
21740	2.66	0.20	11.93	358.14	13.98	132.91
21741	2.86	0.13	13.93	27.47	4.10	117.11
21742	2.77	0.16	4.30	323.41	8.74	153.77
21743	2.59	0.05	5.76	333.30	20.90	150.96
21744	2.42	0.18	2.34	141.73	113.35	247.71
21745	2.61	0.07	4.42	335.18	131.50	46.19
21746	2.30	0.11	1.32	259.05	16.35	251.44
21747	2.72	0.19	2.24	199.44	249.47	70.53
21748	2.23	0.19	3.46	336.81	319.77	235.90
21749	2.56	0.26	6.12	137.71	257.30	133.05
21750	2.24	0.11	6.29	54.75	29.55	113.85
21751	2.38	0.14	1.53	253.44	238.22	52.42
21752	2.39	0.12	5.16	44.57	50.13	87.42
21753	2.46	0.08	8.18	115.95	327.86	86.57
21754	2.34	0.11	7.46	149.59	268.13	129.81
21755	2.54	0.20	7.15	235.12	232.32	71.66
21756	2.17	0.12	3.99	0.23	286.58	231.36
21757	2.99	0.25	16.19	343.48	66.30	96.49
21758	2.29	0.09	6.33	265.83	148.98	133.07
21759	2.46	0.10	12.30	198.48	136.86	186.09
21760	2.39	0.27	10.85	339.81	359.10	190.28
21761	2.56	0.18	12.07	233.88	112.33	167.74
21762	2.56	0.07	14.27	303.23	281.76	290.64
21763	2.78	0.16	11.68	294.51	101.19	115.95
21764	2.61	0.15	13.01	216.17	261.71	57.37
21765	2.68	0.22	11.75	295.59	110.73	122.32
21766	2.71	0.22	6.48	233.79	177.30	117.60
21767	3.15	0.17	7.62	319.82	62.69	107.83
21768	2.80	0.06	7.62	259.13	47.59	198.87
21769	2.63	0.17	13.89	222.08	114.63	177.33
21770	2.35	0.05	5.07	293.91	71.12	187.08
21771	2.73	0.21	9.99	331.55	42.48	144.08
21772	3.14	0.20	11.81	339.76	27.49	123.40
21773	2.80	0.27	9.00	139.34	289.74	71.63
21774	2.34	0.08	6.66	155.84	266.73	107.49
21775	2.23	0.14	5.27	107.46	189.24	243.38
21776	2.62	0.13	5.48	90.66	310.53	120.83
21777	2.97	0.02	8.39	275.80	218.17	8.76
21778	2.41	0.13	1.45	159.52	346.31	40.59
21779	2.55	0.12	10.43	120.47	178.83	209.37
21780	2.26	0.15	8.23	107.16	177.04	256.24
21781	2.41	0.03	7.75	129.87	101.33	304.65
21782	2.35	0.15	5.34	130.66	150.74	246.80
21783	2.65	0.06	3.99	118.77	347.03	17.11
21784	2.71	0.09	6.44	28.03	43.73	94.30
21785	2.78	0.17	18.67	23.21	358.18	126.02
21786	3.15	0.12	7.14	3.25	314.44	156.52
21787	2.58	0.12	14.28	54.41	109.60	24.17
21788	2.43	0.32	22.63	161.47	239.49	161.32
21789	2.29	0.17	6.39	108.16	293.07	144.99
21790	3.09	0.14	14.25	114.23	275.19	80.10
21791	2.38	0.15	7.60	48.91	288.97	181.14
21792	3.17	0.24	10.14	26.11	44.49	52.30
21793	3.05	0.16	10.03	104.18	274.39	96.73
21794	2.57	0.13	14.05	40.74	43.08	70.47
21795	2.38	0.19	1.84	337.30	81.58	141.58
21796	2.78	0.19	8.96	70.58	224.52	204.59
21797	2.35	0.09	6.89	62.51	338.20	164.03
21798	2.25	0.16	6.51	118.65	267.31	163.86
